LemmaID	singularForm	singularPatter	brokenPluralForm	brokenPluralPattern
n@dAxilap_1@0	dAxilap	fAEilap	dawAxil	fawAEil
n@daxiylap_1@0	daxiylap	faEiylap	daxA}il	faEA}il
n@DayoEap_2@0	DayoEap	faEolap	DiyAE	fiEAl
n@Dayof_1@1	Dayof	faEol	Duyuwf	fuEuwl
n@dayon_1@0	dayon	faEol	duyuwn	fuEuwl
n@dayor_2@1	dayor	faEol	>adoyAr	>afoEAl
n@dibolap_1@0	dibolap	fiEolap	dibal	fiEal
n@DiEof_1@0	DiEof	fiEol	>aDoEAf	>afoEAl
n@Digov_1@0	Digov	fiEol	>aDogAv	>afoEAl
n@diholiyz_1@0	diholiyz	fiEoliyl	dahAliyz	faEAliyl
n@dihoqAn_1@1	dihoqAn	fiEolAl	dahAqinap	faEAlilap
n@dihoqAn_1@1	dihoqAn	fiEolAl	dahAqiyn	faEAliyl
n@dik~ap_1@0	dik~ap	fiE~ap	dikak	fiEaE
n@DiloE_1@0	DiloE	fiEol	>aDolAE	>afoEAl
n@DiloE_1@0	DiloE	fiEol	DuluwE	fuEuwl
n@DimAdap_2@0	DimAdap	fiEAlap	DamA}id	faEA}il
n@dimAg_1@1	dimAg	fiEAl	>adomigap	>afoEilap
n@dinokil_1@1	dinokil	fiEolil	danAkil	faEAlil
n@dir~ap_1@1	dir~ap	fiE~ap	dirar	fiEaE
n@diroham_1@1	diroham	fiEolal	darAhim	faEAlil
n@Diros_1@0	Diros	fiEol	>aDorAs	>afoEAl
n@Diros_1@0	Diros	fiEol	Duruws	fuEuwl
n@Dirow_1@1	Dirow	fiEol	DirA'	fiEAl
n@divAr_1@1	divAr	fiEAl	duvur	fuEul
n@diyk_2@0	diyk	fiyl	>adoyAk	>afoyAl
n@diymAs_1@1	diymAs	fiyEAl	dayAmiys	faEAliyl
n@diyn_1@1	diyn	fiyl	>adoyAn	>afoyAl
n@diynAr_1@1	diynAr	fiyEAl	danAniyr	faEAliyl
n@diywAn_1@1	diywAn	fiyEAl	dawAwiyn	faEAliyl
n@dub~_1@1	dub~	fuE~	>adobAb	>afoEAE
n@dub~_1@1	dub~	fuE~	dibabap	fiEalap
n@dubor_1@1	dubor	fuEol	>adobAr	>afoEAl
n@duk~An_1@1	duk~An	fuE~Al	dakAkiyn	faEAliyl
n@dulofiyn_1@1	dulofiyn	fuEoliyl	dalAfiyn	faEAliyl
n@dum~al_1@1	dum~al	fuE~al	damAmil	faEAEil
n@dumoluj_1@1	dumoluj	fuEolul	damAlij	faEAlil
n@duqomAq_1@1	duqomAq	fuEolAl	daqAmiyq	faEAliyl
n@duroj_1@0	duroj	fuEol	>adorAj	>afoEAl
n@duroj_1@0	duroj	fuEol	duruwj	fuEuwl
n@dusotuwr_1@1	dusotuwr	fuEoluwl	dasAtiyr	faEAliyl
n@duwd_1@0	duwd	fuwl	diydAn	fiylAn
n@Ea$A'_1@1	Ea$A'	faEAl	>aEo$iyap	>afoEilap
n@EabA'_1@1	EabA'	faEAl	>aEobi}ap	>afoEilap
n@EaDud_2@0	EaDud	faEul	>aEoDAd	>afoEAl
n@EAhil_1@1	EAhil	fAEil	EawAhil	fawAEil
n@EAhin_1@0	EAhin	fAEil	EawAhin	fawAEil
n@EAhir_1@1	EAhir	fAEil	Euh~Ar	fuE~Al
n@EA}iq_1@1	EA}iq	fAEil	EawA}iq	fawAEil
n@Ea$iyrap_1@1	Ea$iyrap	faEiylap	Ea$A}ir	faEA}il
n@EAliyap_1@1	EAliyap	fAEilap	EawAliy	fawAEil
n@Eam~_1@1	Eam~	faE~	Eumuwm	fuEuwl
n@EAm_1@1	EAm	fAl	>aEowAm	>afoEAl
n@Eam~_1@1	Eam~	fal~	Eumuwm	fuEuwl
n@Eamiyd_1@1	Eamiyd	faEiyl	EumadA'	fuEalA'
n@Eamuwd_1@0	Eamuwd	faEuwl	>aEomidap	>afoEilap
n@EAmuwd_1@0	EAmuwd	fAEuwl	EawAmiyd	fawAEiyl
n@EAnis_1@1	EAnis	fAEil	EawAnis	fawAEil
n@Eanobar_2@1	Eanobar	faEolal	EanAbir	faEAlil
n@Eanokabuwt_1@1	Eanokabuwt	faEolaluwl	EanAkib	faEAlil
n@Eanoz_1@0	Eanoz	faEol	>aEonuz	>afoEul
n@Eanoz_1@0	Eanoz	faEol	EinAz	fiEAl
n@Eanoz_1@0	Eanoz	faEol	Eunuwz	fuEuwl
n@Ea*orA'_2@2	Ea*orA'	faEolA'	Ea*AraY	faEAlaY
n@Eaq~Ar_1@0	Eaq~Ar	faE~Al	EaqAqiyr	faEAliyl
n@EAqibap_1@0	EAqibap	fAEilap	EawAqib	fawAEil
n@Eaqiyd_1@1	Eaqiyd	faEiyl	EuqadA'	fuEalA'
n@Eaqiyq_1@1	Eaqiyq	faEiyl	>aEiq~ap	>afil~ap
n@Eaqod_2@1	Eaqod	faEol	Euquwd	fuEuwl
n@Eaqol_1@1	Eaqol	faEol	Euquwl	fuEuwl
n@EariyDap_1@1	EariyDap	faEiylap	EarA}iD	faEA}il
n@Eariyf_2@1	Eariyf	faEiyl	EurafA'	fuEalA'
n@Eariyn_1@1	Eariyn	faEiyl	Eurun	fuEul
n@Eariynap_1@1	Eariynap	faEiylap	EarA}in	faEA}il
n@Eariys_1@1	Eariys	faEiyl	EurosAn	fuEolAn
n@Earo$_1@1	Earo$	faEol	>aEorA$	>afoEAl
n@Earo$_1@1	Earo$	faEol	Euruw$	fuEuwl
n@EaSab_1@0	EaSab	faEal	>aEoSAb	>afoEAl
n@EASimap_1@1	EASimap	fAEilap	EawASim	fawAEil
n@EaSiydap_1@1	EaSiydap	faEiylap	EaSA}id	faEA}il
n@Easoqal_1@1	Easoqal	faEolal	EasAqil	faEAlil
n@EaSor_1@1	EaSor	faEol	>aEoSAr	>afoEAl
n@EaSor_1@1	EaSor	faEol	>aEoSur	>afoEul
n@EaSor_1@1	EaSor	faEol	EuSuwr	fuEuwl
n@Eat~Al_1@1	Eat~Al	faE~Al	Eat~Alap	faE~Alap
n@EAtiq_1@1	EAtiq	fAEil	EawAtiq	fawAEil
n@EaTiy~ap_2@1	EaTiy~ap	faEiy~ap	EaTAyA	faEAyA
n@Eawon_1@0	Eawon	faEol	>aEowAn	>afoEAl
n@EaZiymap_1@0	EaZiymap	faEiylap	EaZA}im	faEA}il
n@EaZom_1@1	EaZom	faEol	EiZAm	fiEAl
n@Eiborap_1@0	Eiborap	fiEolap	Eibar	fiEal
n@Eiforiyt_1@1	Eiforiyt	fiEoliyl	EafAriyt	faEAliyl
n@Eiloj_1@0	Eiloj	fiEol	Euluwj	fuEuwl
n@EilowAn_1@1	EilowAn	fiEolAl	EalAwiyn	faEAliyl
n@EimAd_2@1	EimAd	fiEAl	Eumud	fuEul
n@EimAmap_1@1	EimAmap	fiEAlap	EamA}im	faEA}il
n@EimolAq_1@0	EimolAq	fiEolAl	EamAliqap	faEAlilap
n@Ei*oq_1@0	Ei*oq	fiEol	>aEo*Aq	>afoEAl
n@Ei*oq_1@0	Ei*oq	fiEol	Eu*uwq	fuEuwl
n@EironAs_1@0	EironAs	fiEolAl	EarAniys	faEAliyl
n@Eiroq_1@0	Eiroq	fiEol	Euruwq	fuEuwl
